"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State","Region","Starting Median Salary","Mid-Career Median Salary","Mid-Career 10th Percentile Salary","Mid-Career 25th Percentile Salary","Mid-Career 75th Percentile Salary","Mid-Career 90th Percentile Salary"
"pratt institute",50038,50038,"private",3310,"very difficult",0.52,"5711","brooklyn","NY","Northeastern",43800,89900,48600,65400,123000,155000
"state university of new york potsdam",8220,17870,"public",3416,"moderately difficult",0.72,"5454","potsdam","NY","Northeastern",38000,70300,35100,51200,1e+05,179000
"princeton university",47140,47140,"private",5400,"most difficult",0.07,"29303","princeton","NJ","Northeastern",66500,131000,68900,1e+05,190000,261000
"purchase college",8498,18148,"public",4121,"moderately difficult",0.44,"6762","purchase","NY",NA,NA,NA,NA,NA,NA,NA
"providence college",48760,48760,"private",4270,NA,NA,NA,"providence","RI","Northeastern",48000,88600,42800,62900,138000,194000
"state university of new york institute of technology",7998,17648,"public",2012,"moderately difficult",0.66,"2428","utica","NY",NA,NA,NA,NA,NA,NA,NA
"quinnipiac university",46780,46780,"private",7099,"moderately difficult",0.76,"23492","hamden","CT","Northeastern",43000,76500,47900,57400,117000,155000
"bard college",54496,54496,"private",1995,"moderately difficult",0.56,"5181","annandale on hudson","NY",NA,NA,NA,NA,NA,NA,NA
"university of rochester",52020,52020,"private",6345,"very difficult",0.35,"17484","rochester","NY",NA,NA,NA,NA,NA,NA,NA
"state university of new york maritime college",8074,17724,"public",1635,"very difficult",0.58,"1449","throggs neck","NY",NA,NA,NA,NA,NA,NA,NA
"barnard college",52662,52662,"private",2548,"most difficult",0.2,"6655","new york","NY",NA,NA,NA,NA,NA,NA,NA
"state university of new york upstate medical university",7344,17194,"public",296,"moderately difficult",0.34,"477","syracuse","NY",NA,NA,NA,NA,NA,NA,NA
"maine maritime academy",13278,26628,"public",1037,"moderately difficult",0.79,"805","castine","ME",NA,NA,NA,NA,NA,NA,NA
"university of maine",10902,30282,"public",9323,"moderately difficult",0.9,"12952","orono","ME","Northeastern",41200,72100,41700,55600,99300,141000
"roger williams university",33336,33336,"private",4902,"moderately difficult",0.79,"9829","bristol","RI","Northeastern",42000,72300,39800,48500,102000,138000
"susquehanna university",45470,45470,"private",2195,"moderately difficult",0.68,"6629","selinsgrove","PA",NA,NA,NA,NA,NA,NA,NA
"bates college",52042,52042,"private",1780,"very difficult",0.23,"5356","lewiston","ME","Northeastern",47300,96500,NA,60700,162000,NA
"arcadia university",42330,42330,"private",2473,"moderately difficult",0.63,"8987","glenside","PA",NA,NA,NA,NA,NA,NA,NA
"swarthmore college",50822,50822,"private",1620,NA,NA,NA,"swarthmore","PA","Northeastern",49700,104000,NA,67200,167000,NA
"bennington college",52420,52420,"private",711,"very difficult",0.6,"1236","bennington","VT",NA,NA,NA,NA,NA,NA,NA
"university of maine farmington",9458,19026,"public",1782,NA,NA,NA,"farmington","ME",NA,NA,NA,NA,NA,NA,NA
"syracuse university",46755,46755,"private",15218,"very difficult",0.52,"30923","syracuse","NY","Northeastern",45700,85900,46400,59400,119000,178000
"university of maine fort kent",7965,12075,"public",1904,"minimally difficult",0.96,"411","fort kent","ME",NA,NA,NA,NA,NA,NA,NA
"bentley university",48000,48000,"private",4222,"very difficult",0.46,"8281","waltham","MA",NA,NA,NA,NA,NA,NA,NA
"thomas college",26110,26110,"private",1212,NA,NA,NA,"waterville","ME",NA,NA,NA,NA,NA,NA,NA
"berklee college of music",42750,42750,"private",5112,"moderately difficult",0.26,"7682","boston","MA",NA,NA,NA,NA,NA,NA,NA
"bloomfield college",29300,29300,"private",1947,"moderately difficult",0.62,"3623","bloomfield","NJ",NA,NA,NA,NA,NA,NA,NA
"bloomsburg university of pennsylvania",10500,21738,"public",8995,"minimally difficult",0.78,"9330","bloomsburg","PA",NA,NA,NA,NA,NA,NA,NA
"temple university",16658,28418,"public",29275,"moderately difficult",0.52,"33139","philadelphia","PA",NA,NA,NA,NA,NA,NA,NA
"bowdoin college",51848,51848,"private",1806,"most difficult",0.15,"6799","brunswick","ME","Northeastern",48100,107000,NA,74600,146000,NA
"university of maine machias",7676,19316,"public",786,"moderately difficult",0.87,"449","machias","ME",NA,NA,NA,NA,NA,NA,NA
"boricua college",11025,11025,"private",1004,"moderately difficult",0.4,"924","new york","NY",NA,NA,NA,NA,NA,NA,NA
"university of maine presque isle",7760,11870,"public",1326,"minimally difficult",0.87,"1491","presque isle","ME",NA,NA,NA,NA,NA,NA,NA
"thiel college",30830,30830,"private",926,"moderately difficult",0.61,"2275","greenville","PA",NA,NA,NA,NA,NA,NA,NA
"boston architectural college",21174,21174,"private",472,"noncompetitive",0.16,"152","boston","MA",NA,NA,NA,NA,NA,NA,NA
"boston college",53346,53346,"private",9309,"very difficult",0.31,"28956","chestnut hill","MA","Northeastern",52700,103000,48900,70000,143000,195000
"thomas jefferson university",NA,NA,"private",1131,"moderately difficult",NA,NA,"philadelphia","PA",NA,NA,NA,NA,NA,NA,NA
"boston university",52082,52082,"private",17944,"very difficult",0.29,"57441","boston","MA","Northeastern",49000,93900,48000,64900,130000,193000
"touro college",19870,19870,"private",6912,"moderately difficult",0.34,"2201","new york","NY",NA,NA,NA,NA,NA,NA,NA
"the college of new jersey",16149,27578,"public",6787,"very difficult",0.49,"11825","ewing","NJ",NA,NA,NA,NA,NA,NA,NA
"manhattan college",42087,42087,"private",3637,"moderately difficult",0.67,"8313","riverdale","NY",NA,NA,NA,NA,NA,NA,NA
"rosemont college",19480,19480,"private",646,"moderately difficult",0.69,"1404","rosemont","PA",NA,NA,NA,NA,NA,NA,NA
"trinity college",54770,54770,"private",2289,"most difficult",0.33,"7569","hartford","CT",NA,NA,NA,NA,NA,NA,NA
"manhattan school of music",45975,45975,"private",389,"very difficult",0.45,"897","new york","NY",NA,NA,NA,NA,NA,NA,NA
"manhattanville college",37910,37910,"private",1794,"moderately difficult",0.77,"4132","purchase","NY",NA,NA,NA,NA,NA,NA,NA
"tufts university",54318,54318,"private",5508,"most difficult",0.14,"20223","medford","MA",NA,NA,NA,NA,NA,NA,NA
"university of bridgeport",32250,32250,"private",2941,"moderately difficult",0.58,"6969","bridgeport","CT",NA,NA,NA,NA,NA,NA,NA
"union college",53490,53490,"private",2203,"very difficult",0.37,"6648","schenectady","NY","Northeastern",47200,95800,48700,75200,135000,230000
"union college",53490,53490,"private",805,"moderately difficult",0.64,"1811","lincoln","NE","Northeastern",47200,95800,48700,75200,135000,230000
"union college",53490,53490,"private",975,"moderately difficult",0.67,"1344","barbourville","KY","Northeastern",47200,95800,48700,75200,135000,230000
"bridgewater state university",10012,16152,"public",9562,"moderately difficult",0.81,"6007","bridgewater","MA",NA,NA,NA,NA,NA,NA,NA
"united states coast guard academy",NA,NA,"public",986,"very difficult",0.15,"2026","new london","CT",NA,NA,NA,NA,NA,NA,NA
"mansfield university of pennsylvania",12316,21766,"public",2112,"moderately difficult",0.66,"2997","mansfield","PA",NA,NA,NA,NA,NA,NA,NA
"brown university",53419,53419,"private",6926,"most difficult",0.09,"32390","providence","RI","Northeastern",56200,109000,55400,74400,159000,228000
"united states merchant marine academy",NA,NA,"public",904,"very difficult",0.15,"1872","kings point","NY",NA,NA,NA,NA,NA,NA,NA
"united states military academy",NA,NA,"public",4389,NA,NA,NA,"west point","NY",NA,NA,NA,NA,NA,NA,NA
"marist college",36780,36780,"private",5616,"very difficult",0.41,"11087","poughkeepsie","NY",NA,NA,NA,NA,NA,NA,NA
"unity college",28350,28350,"private",709,"moderately difficult",0.91,"1011","unity","ME",NA,NA,NA,NA,NA,NA,NA
"marlboro college",40425,40425,"private",196,"moderately difficult",0.96,"161","marlboro","VT",NA,NA,NA,NA,NA,NA,NA
"ursinus college",50360,50360,"private",1556,"moderately difficult",0.82,"2491","collegeville","PA","Northeastern",42100,80000,35600,54300,1e+05,160000
"utica college",20676,20676,"private",3550,"moderately difficult",0.82,"5419","utica","NY",NA,NA,NA,NA,NA,NA,NA
"marymount manhattan college",31950,31950,"private",2069,"moderately difficult",0.78,"5265","new york","NY",NA,NA,NA,NA,NA,NA,NA
"vassar college",55210,55210,"private",2424,"very difficult",0.27,"7284","poughkeepsie","NY","Northeastern",46000,94600,NA,60600,123000,NA
"marywood university",33940,33940,"private",1931,"moderately difficult",0.69,"2202","scranton","PA",NA,NA,NA,NA,NA,NA,NA
"bryant university",42109,42109,"private",3462,"moderately difficult",0.67,"7314","smithfield","RI",NA,NA,NA,NA,NA,NA,NA
"bryn mawr college",50500,50500,"private",1381,"most difficult",0.4,"3012","bryn mawr","PA",NA,NA,NA,NA,NA,NA,NA
"bucknell university",53986,53986,"private",3571,"most difficult",0.3,"10487","lewisburg","PA","Northeastern",54100,110000,62800,80600,156000,251000
"cabrini university",31350,31350,"private",1650,"moderately difficult",0.71,"3186","radnor","PA",NA,NA,NA,NA,NA,NA,NA
"california university of pennsylvania",10641,14387,"public",5522,"moderately difficult",0.94,"3202","california","PA",NA,NA,NA,NA,NA,NA,NA
"massachusetts college of art & design",12700,34400,"public",1835,"moderately difficult",0.71,"1531","boston","MA",NA,NA,NA,NA,NA,NA,NA
"university of vermont",17740,41356,"public",11159,"moderately difficult",0.69,"22476","burlington","VT","Northeastern",44800,82700,44700,58000,122000,194000
"massachusetts college of pharmacy & health sciences",32590,32590,"private",3843,NA,0.84,"5531","boston","MA",NA,NA,NA,NA,NA,NA,NA
"villanova university",51284,51284,"private",6999,"very difficult",0.44,"17272","villanova","PA","Northeastern",55800,101000,56800,76200,156000,226000
"massachusetts institute of technology",49892,49892,"private",4524,"most difficult",0.08,"19020","cambridge","MA","Northeastern",72200,126000,76800,99200,168000,220000
"carlow university",28596,28596,"private",1408,"minimally difficult",0.86,"806","pittsburgh","PA",NA,NA,NA,NA,NA,NA,NA
"school of visual arts",38000,38000,"private for profit",3707,"moderately difficult",0.74,"3648","new york","NY",NA,NA,NA,NA,NA,NA,NA
"wagner college",45380,45380,"private",1807,NA,NA,NA,"staten island","NY",NA,NA,NA,NA,NA,NA,NA
"washington & jefferson college",46628,46628,"private",1396,"very difficult",0.46,"7155","washington","PA",NA,NA,NA,NA,NA,NA,NA
"massachusetts maritime academy",8381,25807,"public",1677,"moderately difficult",0.8,"825","buzzards bay","MA",NA,NA,NA,NA,NA,NA,NA
"waynesburg university",24010,24010,"private",1400,"moderately difficult",0.94,"1478","waynesburg","PA",NA,NA,NA,NA,NA,NA,NA
"university of massachusetts amherst",15596,33662,"public",23373,"moderately difficult",0.6,"40703","amherst","MA","Northeastern",46600,88200,43100,61300,122000,168000
"webb institute",48775,48775,"private",92,"most difficult",0.29,"116","glen cove","NY",NA,NA,NA,NA,NA,NA,NA
"wellesley college",51148,51148,"private",2356,"most difficult",0.3,"4555","wellesley","MA","Northeastern",42800,83500,NA,58600,125000,NA
"university of massachusetts boston",13828,32985,"public",12847,"moderately difficult",0.69,"9886","boston","MA","Northeastern",45600,78200,36300,53800,109000,151000
"medaille college",28360,28360,"private",1803,"moderately difficult",0.54,"1505","buffalo","NY",NA,NA,NA,NA,NA,NA,NA
"wells college",39600,39600,"private",515,"moderately difficult",0.58,"2222","aurora","NY",NA,NA,NA,NA,NA,NA,NA
"mercy college",18713,18713,"private",7157,"moderately difficult",0.78,"6617","dobbs ferry","NY","Northeastern",43700,62600,35600,47300,99000,134000
"mercyhurst university",36320,36320,"private",2494,"moderately difficult",0.75,"3254","erie","PA",NA,NA,NA,NA,NA,NA,NA
"wentworth institute of technology",32954,32954,"private",3974,"moderately difficult",0.71,"7556","boston","MA","Northeastern",53000,96700,55200,74000,117000,153000
"carnegie mellon university",53910,53910,"private",6673,"most difficult",0.22,"21189","pittsburgh","PA","Northeastern",61800,111000,63300,80100,150000,209000
"wesleyan university",52774,52774,"private",2971,"most difficult",0.18,"11928","middletown","CT","Northeastern",46500,97900,42000,62500,126000,215000
"merrimack college",40190,40190,"private",3448,"moderately difficult",0.82,"8214","north andover","MA",NA,NA,NA,NA,NA,NA,NA
"west chester university of pennsylvania",10064,21302,"public",14398,"moderately difficult",0.64,"12609","west chester","PA",NA,NA,NA,NA,NA,NA,NA
"messiah college",34160,34160,"private",2788,"moderately difficult",0.8,"2596","mechanicsburg","PA",NA,NA,NA,NA,NA,NA,NA
"castleton state college",11314,26722,"public",1985,"moderately difficult",0.78,"2397","castleton","VT",NA,NA,NA,NA,NA,NA,NA
"western connecticut state university",10418,23107,"public",5181,"moderately difficult",0.67,"5484","danbury","CT",NA,NA,NA,NA,NA,NA,NA
"western new england university",35740,35740,"private",2724,"moderately difficult",0.8,"6399","springfield","MA",NA,NA,NA,NA,NA,NA,NA
"middlebury college",52496,52496,"private",2532,"most difficult",0.16,"8819","middlebury","VT","Northeastern",47700,94200,NA,69100,129000,NA
"westfield state university",9715,15795,"public",5610,"moderately difficult",0.78,"4740","westfield","MA",NA,NA,NA,NA,NA,NA,NA
"millersville university of pennsylvania",11858,21318,"public",6980,"moderately difficult",0.69,"6943","millersville","PA",NA,NA,NA,NA,NA,NA,NA
"cedar crest college",38092,38092,"private",1428,"moderately difficult",0.66,"1193","allentown","PA",NA,NA,NA,NA,NA,NA,NA
"westminster college",36230,36230,"private",1168,"moderately difficult",0.91,"2125","new wilmington","PA",NA,NA,NA,NA,NA,NA,NA
"westminster college",36230,36230,"private",2127,"moderately difficult",0.94,"1938","salt lake city","UT",NA,NA,NA,NA,NA,NA,NA
"westminster college",36230,36230,"private",940,"moderately difficult",0.64,"1789","fulton","MO",NA,NA,NA,NA,NA,NA,NA
"centenary university",32580,32580,"private",1518,"moderately difficult",0.88,"1160","hackettstown","NJ",NA,NA,NA,NA,NA,NA,NA
"wheelock college",36350,36350,"private",726,"minimally difficult",0.84,"1305","boston","MA",NA,NA,NA,NA,NA,NA,NA
"central connecticut state university",10225,22914,"public",9538,"moderately difficult",0.6,"7810","new britain","CT",NA,NA,NA,NA,NA,NA,NA
"wheaton college",50850,50850,"private",1651,"very difficult",0.62,"4478","norton","MA",NA,NA,NA,NA,NA,NA,NA
"wheaton college",50850,50850,"private",2456,"very difficult",0.79,"1850","wheaton","IL",NA,NA,NA,NA,NA,NA,NA
"widener university",44166,44166,"private",3591,"moderately difficult",0.7,"5175","chester","PA","Northeastern",52900,83400,42600,61400,106000,138000
